# size_bytes, sequential_ns, random_ns, random_index_ns
669696, 0.17, 10.25, 2.73
670720, 0.19, 10.76, 2.31
671744, 0.17, 15.32, 3.62
672768, 0.23, 10.84, 2.45
673792, 0.17, 10.89, 2.38
674816, 0.21, 10.31, 5.34
675840, 0.22, 23.61, 3.00
676864, 0.22, 9.64, 1.95
677888, 0.16, 9.72, 1.84
678912, 0.16, 9.80, 2.24
679936, 0.21, 9.70, 1.64
680960, 0.23, 9.71, 2.01
681984, 0.18, 9.57, 1.80
683008, 0.17, 9.56, 2.83
684032, 0.22, 10.36, 2.06
685056, 0.22, 16.57, 2.71
686080, 0.17, 9.59, 1.70
687104, 0.16, 9.54, 1.91
688128, 0.16, 10.18, 2.57
689152, 0.16, 9.58, 2.20
690176, 0.16, 10.22, 1.76
691200, 0.16, 9.61, 1.77
692224, 0.16, 9.64, 1.68
693248, 0.17, 9.59, 1.86
694272, 0.16, 9.61, 2.62
695296, 0.20, 11.63, 2.76
696320, 0.26, 10.76, 3.44
697344, 0.16, 11.50, 2.75
698368, 0.17, 10.95, 2.48
699392, 0.20, 10.19, 2.73
700416, 0.17, 9.91, 2.29
701440, 0.43, 10.65, 6.30
702464, 0.20, 9.98, 1.86
703488, 0.16, 9.67, 1.82
704512, 0.16, 9.52, 1.75
705536, 0.18, 9.61, 1.83
706560, 0.16, 9.66, 1.92
707584, 0.16, 9.51, 1.70
708608, 0.16, 9.61, 1.67
709632, 0.16, 9.57, 1.71
710656, 0.16, 9.58, 1.62
711680, 0.16, 9.63, 2.97
712704, 0.20, 10.71, 2.38
713728, 0.18, 11.04, 2.19
714752, 0.18, 10.32, 2.04
715776, 0.16, 10.15, 2.45
716800, 0.19, 10.25, 2.47
717824, 0.17, 10.93, 2.16
718848, 0.16, 11.25, 3.24
719872, 0.20, 10.04, 3.52
720896, 0.18, 10.51, 2.42
721920, 0.19, 9.80, 2.01
722944, 0.18, 9.66, 1.78
723968, 0.16, 9.58, 1.71
724992, 0.16, 9.78, 2.22
726016, 0.16, 9.59, 1.94
727040, 0.16, 9.58, 1.66
728064, 0.16, 9.77, 2.11
729088, 0.18, 9.65, 1.67
730112, 0.36, 9.64, 1.98
731136, 0.16, 10.37, 2.86
732160, 0.22, 10.03, 2.53
733184, 0.16, 10.97, 2.01
734208, 0.21, 10.49, 2.68
735232, 0.16, 10.40, 3.17
736256, 0.21, 10.57, 2.62
737280, 0.21, 10.46, 2.78
738304, 0.22, 10.83, 3.32
739328, 0.17, 9.73, 1.89
740352, 0.15, 9.63, 1.82
741376, 0.16, 9.59, 1.87
742400, 0.17, 9.57, 1.76
743424, 0.15, 9.91, 2.03
744448, 0.16, 9.64, 1.72
745472, 0.16, 9.56, 1.77
746496, 0.17, 9.73, 2.19
747520, 0.16, 10.25, 6.50
748544, 0.19, 9.72, 1.89
749568, 0.16, 9.58, 1.77
750592, 0.16, 9.65, 1.76
751616, 0.16, 10.16, 1.76
752640, 0.16, 9.53, 2.13
753664, 0.16, 9.67, 1.73
754688, 0.16, 9.71, 1.88
755712, 0.18, 9.87, 1.88
756736, 0.16, 9.73, 1.72
757760, 0.18, 9.51, 3.21
758784, 0.27, 10.90, 3.25
759808, 0.19, 10.62, 3.55
760832, 0.20, 9.70, 1.79
761856, 0.15, 9.62, 1.88
762880, 0.16, 9.64, 1.66
763904, 0.16, 9.49, 1.66
764928, 0.16, 9.86, 2.37
765952, 0.19, 10.38, 2.01
766976, 0.16, 9.87, 1.74
768000, 0.16, 9.74, 1.72
769024, 0.16, 9.46, 1.73
770048, 0.16, 9.70, 1.82
771072, 0.17, 9.69, 1.80
772096, 0.16, 9.55, 1.74
773120, 0.16, 9.54, 1.77
774144, 0.18, 9.61, 1.78
775168, 0.19, 9.84, 1.90
776192, 0.16, 9.57, 1.95
777216, 0.16, 9.59, 1.73
778240, 0.16, 9.74, 1.80
779264, 0.19, 9.78, 4.11
780288, 0.16, 10.81, 4.25
781312, 0.24, 16.12, 1.90
782336, 0.16, 10.17, 1.85
783360, 0.16, 9.67, 1.95
784384, 0.16, 9.50, 1.76
785408, 0.18, 13.62, 2.28
786432, 0.16, 9.59, 2.10
787456, 0.18, 9.68, 2.01
